,Release Date,Movie,Genre,ProductionBudget,BoxOffice
945,1998-06-26,doctor dolittle,comedy,71500000,144156464
947,2001-06-22,doctor dolittle 2,comedy,72000000,112950721
989,2012-03-02,doctor seuss the lorax,adventure,67500000,214030500
959,1965-12-22,doctor zhivago,drama,11000000,111721000
962,2009-06-19,dod sno,black comedy,800000,46742
964,2004-06-18,dodgeball: a true underdog story,comedy,30000000,114326736
990,1999-11-12,dogma,comedy,10000000,30651422
994,2010-06-25,dogtooth,drama,323000,110248
995,2002-04-26,dogtown and z-boys,documentary,400000,1293295
1011,1979-06-30,dolphin,documentary,170000,14000
1013,2011-09-23,dolphin tale,drama,37000000,72286779
1014,2014-09-12,dolphin tale 2,drama,36000000,42024533
1016,2008-02-15,dolphins and whales tribes of the ocean 3d,documentary,6000000,7714996
1022,2001-11-02,domestic disturbance,thriller/suspense,53000000,45207112
1026,2005-10-14,domino,action,50000000,10169202
1032,2013-09-27,don jon,romantic comedy,5500000,24477704
1033,1995-04-07,don juan demarco,drama,25000000,22011141
1054,2009-01-23,donkey punch,thriller/suspense,750000,19367
1060,1997-02-28,donnie brasco,drama,35000000,41954997
1061,2001-10-26,donnie darko,drama,4500000,1270522
1066,2011-08-26,dont be afraid of the dark,horror,25000000,24046682
1044,2001-09-28,dont say a word,thriller/suspense,50000000,54997476
1077,2006-02-24,doogal,adventure,20000000,7578946
1078,2005-10-21,doom,horror,70000000,28031250
1079,2008-03-14,doomsday,action,33000000,11008770
1089,2015-06-19,dope,comedy,7000000,17506470
1110,1991-08-09,double impact,action,16000000,29090445
1112,1999-09-24,double jeopardy,action,40000000,116735231
1114,2001-01-12,double take,action,24000000,29823162
1123,2008-12-12,doubt,drama,20000000,33446470
1126,1999-03-26,dougs 1st movie,adventure,5000000,19421271
1135,2011-01-14,down for life,drama,3800000,41914
1138,2006-05-05,down in the valley,western,8000000,568932
1141,2010-10-15,down terrace,black comedy,30000,9812
1143,2001-02-16,down to earth,comedy,30000000,64172251
1145,2000-01-21,down to you,romantic comedy,9000000,20035310
1148,2005-02-18,downfall,drama,13500000,5501940
1165,1963-05-08,dr no,action,1000000,16067035
1171,2000-12-22,dracula 2000,horror,28000000,33000377
1176,2014-10-10,dracula untold,action,70000000,55991880
1177,2014-04-11,draft day,drama,25000000,28842237
1178,2009-05-29,drag me to hell,horror,30000000,42100625
1182,2009-04-10,dragonball evolution,adventure,30000000,9362785
1191,2002-02-22,dragonfly,drama,60000000,30063805
1192,1996-05-31,dragonheart,adventure,57000000,51317350
1196,1981-06-26,dragonslayer,action,18000000,5939000
1208,2011-09-30,dream house,horror,50000000,21302340
1214,1997-06-20,dream with the fishes,drama,1000000,542909
1215,2003-03-21,dreamcatcher,drama,68000000,33685268
1218,2005-10-21,dreamer: inspired by a true story,drama,32000000,33022286
1220,2006-12-15,dreamgirls,musical,75000000,103365956
1233,2012-09-21,dredd,action,45000000,13414714
1237,1980-01-01,dressed to kill,thriller/suspense,6500000,31899000
1246,2008-03-21,drillbit taylor,comedy,40000000,32862104
1247,2013-08-23,drinking buddies,drama,500000,343706
1249,2011-09-16,drive,action,15000000,35060689
1250,2011-02-25,drive angry,action,50000000,10721033
1252,1999-10-01,drive me crazy,comedy,8000000,17843379
1253,2001-04-27,driven,action,72000000,32616869
1258,1989-12-13,driving miss daisy,drama,7500000,102647257
1270,1999-07-23,drop dead gorgeous,comedy,10000000,10571408
1276,2000-03-03,drowning mona,comedy,16000000,15427192
1282,2002-12-13,drumline,comedy,20000000,56398162
1310,2000-12-15,dude wheres my car?,comedy,13000000,46729374
1311,1999-08-27,dudley do-right,comedy,22000000,9818792
1312,2010-11-05,due date,comedy,65000000,100539043
1318,2000-09-15,duets,drama,16000000,4734235
1332,2005-09-30,duma,adventure,12000000,860002
1333,1994-12-16,dumb & dumber,comedy,16000000,127140750
1334,2014-11-14,dumb and dumber to,comedy,40000000,86208010
1335,2003-06-13,dumb and dumberer: when harry met lloyd,comedy,30000000,26214846
1342,1984-12-14,dune,action,45000000,27447471
1346,2000-12-08,dungeons and dragons,adventure,35000000,15185241
1355,2003-09-26,duplex,comedy,40000000,9652000
1356,2009-03-20,duplicity,thriller/suspense,60000000,40572825
1375,2011-04-29,dylan dog: dead of night,horror,20000000,1186538
1378,2003-04-04,dysfunktional family,documentary,3000000,2255000
514,2006-11-22,déjà vu,thriller/suspense,80000000,64038616
3,1983-01-01,e tu vivrai nel terrore - laldilà,horror,400000,126387
6,2008-09-26,eagle eye,thriller/suspense,80000000,101440743
14,2009-04-22,earth,documentary,15000000,32011576
18,2014-07-02,earth to echo,adventure,13000000,38934842
26,2000-04-14,east is east,comedy,3000000,4170647
35,2007-09-14,eastern promises,thriller/suspense,50000000,17181265
39,2010-09-17,easy a,comedy,8000000,58401464
45,2009-05-22,easy virtue,romantic comedy,14000000,2656784
48,2010-08-13,eat pray love,drama,60000000,80574010
78,1994-09-30,ed wood,comedy,18000000,5755976
85,2016-02-26,eddie the eagle,drama,23000000,13662447
86,2013-04-05,eddie: the sleepwalking cannibal,comedy,1400000,1632
92,2008-10-31,eden lake,horror,2000000,7321
96,2010-01-29,edge of darkness,drama,60000000,43313890
101,2014-06-06,edge of tomorrow,action,178000000,100206256
106,2006-07-14,edmond,black comedy,10000000,131719
109,1999-03-26,edtv,comedy,60000000,22421087
118,1990-12-07,edward scissorhands,comedy,20000000,53976987
142,2006-02-17,eight below,adventure,40000000,81612565
145,2002-07-17,eight legged freaks,comedy,30000000,17266505
1476,2002-11-15,el crimen de padre amaro,drama,1800000,5719000
34,2006-12-29,el laberinto del fauno,horror,16000000,37634615
169,1993-02-26,el mariachi,action,7000,2040920
403,2007-12-28,el orfanato,horror,4000000,7159147
466,2010-04-16,el secreto de sus ojos,thriller/suspense,3500000,6391436
174,1999-04-23,election,black comedy,8500000,14879556
187,2005-01-14,elektra,action,65000000,24409722
202,2003-11-07,elf,comedy,32000000,173398518
207,1998-11-06,elizabeth,drama,25000000,30012990
209,2007-10-12,elizabeth: the golden age,drama,55000000,16285240
210,2005-10-14,elizabethtown,drama,54000000,26850426
211,2004-04-09,ella enchanted,comedy,35000000,22913677
213,2011-07-22,elle sappelait sarah,drama,14500000,7691700
219,1960-01-01,elmer gantry,drama,3000000,10400000
222,2014-11-07,elsa & fred,comedy,10000000,67657
233,2013-08-09,elysium,action,120000000,93050117
244,1996-08-02,emma,romantic comedy,5900000,22041742
261,2002-12-06,empire,drama,3500000,17504595
269,2006-10-06,employee of the month,comedy,10000000,28444855
280,2007-11-21,enchanted,romantic comedy,85000000,127706877
290,1999-11-24,end of days,action,100000000,66889043
298,2006-01-20,end of the spear,drama,10000000,11748661
303,2012-09-21,end of watch,thriller/suspense,15000000,41003371
306,2013-11-01,enders game,adventure,110000000,61737191
310,2014-02-14,endless love,drama,20000000,23438250
324,2001-03-16,enemy at the gates,drama,85000000,51396781
326,1998-11-20,enemy of the state,action,85000000,111544445
358,2002-05-24,enough,thriller/suspense,38000000,39177215
359,2013-09-18,enough said,comedy,8000000,17550872
368,2010-09-24,enter the void,drama,16000000,337997
375,2015-06-03,entourage,comedy,30000000,32363404
377,1999-04-30,entrapment,thriller/suspense,66000000,87707396
380,2009-01-30,entre les murs,drama,3250000,3766810
383,2004-04-30,envy,comedy,20000000,13548322
390,2013-05-24,epic,adventure,100000000,107518682
391,2007-01-26,epic movie,comedy,20000000,39739367
399,2002-12-06,equilibrium,action,20000000,1190018
403,2006-12-15,eragon,adventure,100000000,75030163
405,1996-06-21,eraser,action,100000000,101283031
406,1977-01-01,eraserhead,horror,100000,7000000
410,2000-03-17,erin brockovich,drama,50000000,125548685
412,2013-03-01,ernest et celestine,adventure,12500000,292562
429,1979-06-22,escape from alcatraz,drama,8000000,43000000
430,1996-08-09,escape from la,action,50000000,25329895
431,1981-07-10,escape from new york,action,6000000,25244700
434,2013-02-15,escape from planet earth,adventure,40000000,57012977
437,2013-10-11,escape from tomorrow,drama,650000,171962
438,2013-10-18,escape plan,thriller/suspense,70000000,25135965
444,2015-06-26,escobar: paradise lost,drama,17000000,195792
463,1982-06-11,et: the extra-terrestrial,drama,10500000,434949459
468,2004-03-19,eternal sunshine of the spotless mind,comedy,20000000,34366518
482,2004-10-15,eulogy,comedy,10000000,70527
484,2001-05-04,eureka,drama,2000000,49388
489,2004-02-20,eurotrip,comedy,25000000,17718223
492,2007-06-22,evan almighty,comedy,175000000,100289690
504,1997-08-15,event horizon,horror,60000000,26668092
506,1998-07-31,ever after: a cinderella story,drama,26000000,65703412
511,2015-09-18,everest,thriller/suspense,65000000,43309450
535,2009-12-04,everybodys fine,drama,20000000,9208876
540,1996-12-06,everyone says i love you,musical,20000000,9714482
544,2011-05-13,everything must go,drama,5000000,2712131
546,1972-08-11,everything you always wanted to know,comedy,2000000,18016290
549,1997-11-07,eves bayou,drama,5000000,14821531
555,2013-04-05,evil dead,horror,17000000,54239856
554,1987-03-13,evil dead ii,horror,3500000,5923044
566,1996-12-25,evita,musical,55000000,49994804
568,2001-06-08,evolution,comedy,80000000,38311134
577,2015-04-10,ex machina,thriller/suspense,13000000,25440971
590,1996-03-15,executive decision,thriller/suspense,55000000,56472312
600,1999-04-23,existenz,thriller/suspense,20700000,2840417
610,2001-03-16,exit wounds,action,33000000,51758599
613,2014-12-12,exodus: gods and kings,drama,140000000,65014513
616,1977-06-17,exorcist ii: the heretic,horror,14000000,25011000
620,2004-08-20,exorcist: the beginning,horror,78000000,41814863
621,1994-09-23,exotica,drama,1500000,5046118
654,2009-09-04,extract,comedy,7500000,10823158
658,2010-01-22,extraordinary measures,drama,31000000,12482741
666,1996-09-27,extreme measures,drama,38000000,17369541
668,2002-11-27,extreme ops,action,40000000,4835968
670,2011-12-25,extremely loud and incredibly close,drama,40000000,31847881
674,1996-01-12,eye for an eye,drama,20000000,26729447
678,2000-01-28,eye of the beholder,thriller/suspense,15000000,16500786
679,2007-08-24,eye of the dolphin,drama,2500000,72210
691,1999-07-16,eyes wide shut,drama,65000000,55637680
8,2004-12-10,fabled,horror,400000,31425
18,1997-06-27,face/off,action,80000000,112273211
24,2006-09-29,facing the giants,drama,100000,10178331
29,2006-12-29,factory girl,drama,7000000,1661464
44,2004-06-23,fahrenheit 9/11,documentary,6000000,119114517
45,2006-03-10,failure to launch,romantic comedy,50000000,88715192
46,1995-11-03,fair game,action,50000000,11497497
52,2014-09-12,faith connections,documentary,550000,9111
55,1996-04-05,faithful,black comedy,13000000,2101580
59,2014-09-04,falcon rising,adventure,4500000,11774
83,2009-09-25,fame,musical,18000000,22455510
97,1976-04-09,family plot,black comedy,3000000,13200000
120,1940-11-13,fantasia,musical,2280000,83320000
121,2000-01-01,fantasia 2000 imax,musical,80000000,60507228
122,2000-06-16,fantasia 2000 theatrical release,musical,80000000,9103630
127,2005-07-08,fantastic four,action,87500000,154695569
128,2015-08-07,fantastic four,action,120000000,56117548
130,2007-06-15,fantastic four: rise of the silver surfer,action,120000000,131921738
142,2002-11-08,far from heaven,drama,13500000,15901849
164,1996-03-08,fargo,thriller/suspense,7000000,24547547
169,2005-01-28,fascination,thriller/suspense,5000000,16066
176,2009-04-03,fast & furious,action,85000000,155064265
177,2013-05-24,fast and furious 6,action,160000000,238679850
181,2011-04-29,fast five,action,125000000,209837675
189,1982-08-13,fast times at ridgemont high,comedy,4500000,27092880
193,2010-11-24,faster,action,24000000,23240020
198,2004-12-25,fat albert,comedy,45000000,48114556
205,1987-09-18,fatal attraction,thriller/suspense,14000000,148453989
210,2006-01-06,fateless,drama,12000000,196857
221,1997-05-09,fathers day,comedy,85000000,28659604
244,1998-05-22,fear and loathing in las vegas,comedy,18500000,10562387
251,2002-08-30,feardotcom,horror,40000000,13208023
254,2006-09-22,feast,horror,3200000,56131
274,1999-11-12,felicias journey,drama,15000000,824295
291,2002-11-06,femme fatale,thriller/suspense,35000000,6592103
309,1998-10-09,festen,comedy,1300000,1647780
320,2005-04-08,fever pitch,comedy,40000000,42071069
327,1971-01-01,fiddler on the roof,musical,9000000,80500000
330,2007-06-15,fido,horror,8000000,298110
352,2016-01-29,fifty shades of black,comedy,5000000,11619662
353,2015-02-13,fifty shades of grey,drama,40000000,166167230
355,1999-10-15,fight club,drama,65000000,37030102
370,2005-05-06,fighting tommy riley,drama,300000,10240
379,2013-04-19,filly brown,drama,1250000,2850357
396,2000-03-17,final destination,horror,23000000,53302314
397,2003-01-31,final destination 2,horror,26000000,46896664
398,2006-02-10,final destination 3,horror,25000000,54098051
399,2011-08-12,final destination 5,horror,40000000,42587643
402,2001-07-11,final fantasy: the spirits within,adventure,137000000,32131830
415,2006-03-17,find me guilty,drama,13000000,1173673
425,2000-12-19,finding forrester,drama,43000000,51768623
431,2003-05-30,finding nemo,adventure,94000000,380529370
432,2004-11-12,finding neverland,drama,25000000,51676606
441,2007-10-05,finishing the game,comedy,500000,52850
457,2009-02-20,fired up,comedy,20000000,17231291
461,1982-06-18,firefox,action,21000000,45785720
465,2008-09-26,fireproof,drama,500000,33456317
466,1984-05-11,firestarter,horror,15000000,15136870
467,1998-01-09,firestorm,action,19000000,8041665
469,2006-02-10,firewall,thriller/suspense,50000000,48751189
474,1982-10-22,first blood,action,14000000,47212904
475,2004-09-24,first daughter,romantic comedy,30000000,9055010
481,1995-07-07,first knight,drama,75000000,37027335
482,1998-08-07,first love last rites,drama,300000,10876
485,2005-07-15,first morning,drama,300000,87264
2,1978-04-13,fist,drama,11000000,20388920
535,2000-09-08,fiza,drama,1000000,623791
538,2006-10-20,flags of our fathers,drama,53000000,33602376
544,2009-07-31,flammen og citronen,thriller/suspense,9000000,148089
548,1980-12-05,flash gordon,action,35000000,27107960
550,2008-10-03,flash of genius,drama,20000000,4295905
555,1983-04-15,flashdance,drama,7000000,90463574
558,1990-08-10,flatliners,thriller/suspense,26000000,61308153
561,1999-11-24,flawless,drama,27000000,4485485
563,1996-07-19,fled,action,30000000,17192205
574,2006-10-20,flicka,drama,15000000,21000147
579,2012-11-02,flight,drama,31000000,93772375
582,1991-01-18,flight of the intruder,action,35000000,14471440
584,2004-12-17,flight of the phoenix,adventure,75000000,21009180
585,2005-09-23,flightplan,thriller/suspense,55000000,89706988
589,2010-08-06,flipped,romantic comedy,14000000,1755212
590,1996-05-17,flipper,comedy,25530000,20047715
593,1996-03-22,flirting with disaster,comedy,7000000,14702438
612,1997-11-26,flubber,comedy,80000000,92969824
618,2006-11-03,flushed away,comedy,149000000,64665672
626,2008-08-15,fly me to the moon,adventure,25000000,14543943
628,2006-09-22,flyboys,drama,60000000,13090630
643,2015-02-27,focus,romantic comedy,65000000,53862963
658,2007-08-31,fong juk,action,4500000,51957
664,2009-06-12,food inc,documentary,1000000,4417674
670,1999-04-09,foolish,comedy,1600000,6026908
673,2008-02-08,fools gold,adventure,72500000,70231041
677,1984-02-17,footloose,musical,8200000,75846770
678,2011-10-14,footloose,musical,24000000,51802742
680,2012-08-31,for a good time call,comedy,850000,1251749
682,2010-11-05,for colored girls,drama,21000000,37729698
685,2012-06-01,for greater glory,action,12000000,5669081
687,1999-09-17,for love of the game,drama,50000000,35188640
702,2006-11-17,for your consideration,comedy,12000000,5549923
703,1981-06-26,for your eyes only,action,28000000,54800000
711,1978-12-22,force 10 from navarone,action,5000000,7100000
746,2008-04-18,forgetting sarah marshall,comedy,30000000,62932375
760,2002-10-18,formula 51,action,27000000,5204007
762,1994-07-06,forrest gump,drama,55000000,330151138
767,2014-08-15,fort mccoy,drama,3000000,78948
769,1993-09-03,fortress,action,12000000,6730578
775,2005-09-28,forty shades of blue,drama,1500000,75828
787,2005-08-12,four brothers,drama,30000000,74494381
788,2008-11-26,four christmases,comedy,80000000,120146040
797,2010-11-05,four lions,black comedy,3750000,310007
800,1995-12-25,four rooms,comedy,4000000,4219131
806,1994-03-09,four weddings and a funeral,romantic comedy,4500000,52086062
827,2002-04-12,frailty,thriller/suspense,11000000,13110448
843,1994-11-04,frankenstein,horror,45000000,22006296
850,2012-10-05,frankenweenie,comedy,39000000,35287788
867,2010-10-01,freakonomics,documentary,2900000,101270
870,2003-08-06,freaky friday,comedy,26000000,110222438
879,2001-04-20,freddy got fingered,comedy,15000000,14249005
880,2003-08-15,freddy vs jason,horror,25000000,82490748
881,1991-09-13,freddys dead: the final nightmare,horror,5000000,34015591
884,2013-11-01,free birds,comedy,55000000,55750480
905,2007-01-05,freedom writers,drama,21000000,36605602
917,1996-08-23,freeway,comedy,3000000,295493
931,1972-06-21,frenzy,thriller/suspense,3500000,12600000
932,2000-04-28,frequency,drama,31000000,44983704
941,2002-10-25,frida,drama,12000000,25885000
942,1995-04-26,friday,comedy,3500000,27409510
943,2002-11-22,friday after next,comedy,10000000,33253609
946,2004-10-08,friday night lights,drama,30000000,61188085
947,1980-05-09,friday the 13th,horror,550000,39754601
948,2009-02-13,friday the 13th,horror,17000000,65002019
949,1981-04-30,friday the 13th part 2,horror,1250000,21722776
950,1982-08-13,friday the 13th part 3,horror,2250000,33985198
951,1984-04-13,friday the 13th part iv: the final chapter,horror,2600000,30393007
952,1985-03-22,friday the 13th part v: a new beginning,horror,2200000,20674880
953,1986-08-01,friday the 13th part vi: jason lives,horror,3000000,17834917
954,1988-05-13,friday the 13th part vii: the new blood,horror,2800000,19170001
955,1989-07-28,friday the 13th part viii: jason takes manhattan,horror,5000000,14343976
965,2011-07-22,friends with benefits,romantic comedy,35000000,55802754
967,2006-04-07,friends with money,comedy,6500000,13368437
969,2011-08-19,fright night,horror,30000000,18298649
985,1996-01-19,from dusk till dawn,horror,20000000,25728961
986,2001-10-19,from hell,thriller/suspense,35000000,31598308
988,2003-06-20,from justin to kelly,musical,12000000,4922166
991,2010-02-05,from paris with love,thriller/suspense,52000000,24077427
993,1964-04-08,from russia with love,action,2000000,24800000
1012,2008-12-05,frost/nixon,drama,29000000,18622031
1014,2013-11-22,frozen,adventure,150000000,400738009
1020,2008-08-01,frozen river,drama,1000000,2511476
1023,2013-07-12,fruitvale station,drama,900000,16098998
1030,2008-11-14,fuel,documentary,2500000,174255
1039,2002-08-02,full frontal,comedy,2000000,2512846
1053,2012-10-26,fun size,comedy,14000000,9409538
1054,2005-12-21,fun with dick and jane,comedy,140000000,110550000
1067,2008-03-14,funny games,thriller/suspense,15000000,1294640
1070,2005-04-29,funny ha ha,comedy,30000,77070
1073,2009-07-31,funny people,comedy,72500000,51855045
1076,2006-11-10,fur: an imaginary portrait of diane arbus,drama,16800000,223202
1078,2015-04-03,furious 7,action,190000000,351032910
1080,2010-04-30,furry vengeance,comedy,35000000,17630465
1082,2014-10-17,fury,drama,80000000,85755593
4,2009-07-24,g-force,adventure,150000000,119436770
21,2001-03-16,gabriela,drama,50000,2335352
29,2009-08-14,gake no ue no ponyo,adventure,34000000,15090399
36,1999-12-24,galaxy quest,comedy,45000000,71423726
62,2009-09-04,gamer,action,50000000,20534907
70,1982-12-08,gandhi,drama,22000000,52767889
71,2007-08-03,gandhi my father,drama,5000000,240425
75,2002-12-20,gangs of new york,drama,97000000,77730500
81,2013-01-11,gangster squad,drama,60000000,46000903
95,2004-07-28,garden state,drama,2500000,26782316
99,2004-06-11,garfield,comedy,50000000,75367693
100,2006-06-16,garfield: a tail of two kitties,comedy,60000000,28426747
120,1997-10-24,gattaca,drama,36000000,12339633
186,1947-01-01,gentlemans agreement,documentary,2000000,7800000
187,2009-10-30,gentlemen broncos,comedy,9500000,113682
194,2005-06-24,george a romeros land of the dead,horror,18975000,20433940
195,2010-05-28,george a romeros survival of the dead,horror,4200000,101740
202,1997-07-16,george of the jungle,comedy,55000000,105224566
207,2007-05-11,georgia rule,drama,20000000,18882880
215,2003-02-14,gerry,drama,7000000,254683
224,2000-10-06,get carter,drama,40000000,14967182
229,2015-03-27,get hard,comedy,40000000,90411453
230,2010-06-04,get him to the greek,comedy,40000000,60974475
233,1996-10-16,get on the bus,drama,2400000,5660056
234,2014-08-01,get on up,drama,30000000,30569935
236,2001-03-09,get over it,romantic comedy,10000000,11560259
237,1999-04-30,get real,comedy,2000000,1152411
238,2005-11-09,get rich or die tryin,drama,40000000,30981850
240,1995-10-20,get shorty,comedy,30250000,71752669
241,2008-06-20,get smart,comedy,80000000,130319208
245,2013-08-30,getaway,thriller/suspense,18000000,10501938
257,1993-10-08,gettysburg,drama,25000000,10731997
266,1990-07-13,ghost,drama,22000000,206143657
271,2000-03-03,ghost dog: way of the samurai,drama,2000000,3330230
277,2007-02-16,ghost rider,action,120000000,115802596
278,2012-02-17,ghost rider: spirit of vengeance,action,57000000,51774002
279,2002-10-25,ghost ship,horror,20000000,30113491
287,2008-09-19,ghost town,romantic comedy,20000000,13252641
288,2001-07-20,ghost world,comedy,5500000,6200756
289,1984-06-08,ghostbusters,comedy,30000000,242212467
297,1996-12-20,ghosts of mississippi,drama,36000000,13052741
6,1997-08-22,gi jane,drama,50000000,48154732
9,2013-03-27,gi joe: retaliation,action,140000000,122523060
8,2009-08-07,gi joe: the rise of cobra,action,175000000,150201498
326,2003-08-01,gigli,romantic comedy,54000000,6068735
345,1996-03-22,girl 6,comedy,12000000,4855000
360,1999-12-21,girl interrupted,drama,24000000,28871190
384,2003-12-12,girl with a pearl earring,drama,12000000,11634362
414,2000-05-05,gladiator,action,103000000,187683805
426,2011-08-10,glee: the 3d concert movie,concert/performance,9000000,11862398
429,1992-09-30,glengarry glen ross,drama,12500000,10725228
440,2001-09-21,glitter,musical,8500000,4273372
452,1999-01-22,gloria,drama,30000000,4167493
458,1989-12-13,glory,action,18000000,26593580
462,2006-01-13,glory road,drama,30000000,42647449
471,2011-02-11,gnomeo and juliet,comedy,36000000,99967670
479,2011-05-13,go for it!,drama,2450000,180237
475,1999-04-09,go!,black comedy,6500000,16842303
492,2006-05-12,goal! the dream begins,drama,33000000,4283255
523,2003-02-21,gods and generals,drama,55000000,12882934
524,1998-11-06,gods and monsters,drama,3500000,6390032
525,2000-03-10,gods army,drama,300000,2628829
533,2016-02-26,gods of egypt,adventure,140000000,27623950
535,2004-04-30,godsend,thriller/suspense,30000000,14334645
536,1998-05-19,godzilla,action,125000000,136142003
537,2014-05-16,godzilla,action,160000000,200672193
539,2000-08-18,godzilla 2000,action,1000000,10037390
531,2014-03-21,god’s not dead,drama,1150000,60755732
557,2010-09-03,going the distance,romantic comedy,32000000,17804299
593,1995-11-17,goldeneye,action,60000000,105978900
595,1964-12-22,goldfinger,action,3000000,51100000
600,2008-12-19,gomorra,drama,6200000,1579146
602,2007-10-19,gone baby gone,drama,19000000,20300218
605,2014-10-03,gone girl,thriller/suspense,61000000,167767189
606,2000-06-09,gone in 60 seconds,action,103300000,101643008
607,1939-12-15,gone with the wind,drama,3900000,198680470
614,2008-12-31,good,drama,16000000,31631
615,2003-10-10,good boy!,comedy,17000000,37654781
620,2008-10-10,good dick,drama,200000,28835
639,2007-09-21,good luck chuck,romantic comedy,25000000,35017297
646,1987-12-23,good morning vietnam,comedy,13000000,121650966
651,2005-10-07,good night and good luck,drama,7000000,31501218
667,1997-12-05,good will hunting,drama,10000000,138339411
676,2004-02-27,goodbye lenin!,comedy,6400000,4063859
683,1990-09-19,goodfellas,drama,25000000,46261759
692,2015-10-16,goosebumps,horror,58000000,80069458
702,2005-01-21,gory gory hallelujah,musical,425000,11798
704,2001-12-26,gosford park,comedy,18000000,41300105
711,2000-04-21,gossip,drama,14000000,5108820
730,2009-08-14,grace,horror,5000000,8297
739,2013-10-04,grace unplugged,drama,1700000,2507159
742,2007-06-01,gracie,drama,9000000,2956339
745,1981-05-01,graduation day,thriller/suspense,250000,23894000
750,2008-12-12,gran torino,drama,25000000,148095302
781,2006-01-06,grandmas boy,comedy,5000000,6090172
798,2013-10-04,gravity,thriller/suspense,110000000,274092705
806,1978-06-16,grease,musical,6000000,181813770
866,2011-06-17,green lantern,action,200000000,116601172
879,2010-03-12,green zone,drama,100000000,35053660
891,1984-06-08,gremlins,comedy,11000000,148117285
892,1990-06-15,gremlins 2: the new batch,comedy,50000000,41476097
902,2006-09-15,gridiron gang,drama,30000000,38432823
907,2011-08-19,griff the invisible,romantic comedy,2900000,20778
915,2007-04-06,grindhouse,horror,53000000,25031037
920,2006-04-28,grip: a criminals story,action,12000,1336
927,2000-06-09,groove,comedy,500000,1115313
933,1997-04-11,grosse pointe blank,black comedy,15000000,28073151
937,1993-02-12,groundhog day,romantic comedy,14600000,68504696
943,2010-06-25,grown ups,comedy,75000000,162001186
944,2013-07-12,grown ups 2,comedy,80000000,133668525
947,2013-12-25,grudge match,comedy,40000000,29807260
965,2014-08-01,guardians of the galaxy,adventure,170000000,333172112
974,2005-03-25,guess who,comedy,35000000,67962333
980,2004-09-24,guiana 1838,drama,1000000,227241
993,2010-12-25,gullivers travels,comedy,112000000,42779261
1001,2000-02-04,gun shy,comedy,10000000,1638202
1010,2010-04-30,gunless,western,9900000,458054
1029,2015-01-30,guten tag ramon,drama,4000000,154356
1043,2007-03-09,gwoemul,action,12000000,2201923
10,1991-03-01,haakon haakonsen,adventure,8500000,15024232
27,2011-04-01,haevnen,drama,5500000,1008098
35,2016-02-05,hail caesar!,comedy,22000000,29731425
43,2007-07-20,hairspray,musical,75000000,118871849
47,1998-01-16,half baked,comedy,8000000,17278980
50,2006-08-11,half nelson,drama,700000,2697938
52,2002-11-15,half past dead,action,25000000,15567860
55,2011-02-25,hall pass,comedy,68000000,45060734
59,1978-10-17,halloween,horror,325000,47000000
60,2007-08-31,halloween,horror,15000000,58269151
61,2009-08-28,halloween 2,horror,15000000,33392973
62,1982-10-22,halloween 3: season of the witch,horror,2500000,14400000
64,1988-10-01,halloween 4: the return of michael myers,horror,5000000,16634499
65,1989-10-13,halloween 5: the revenge of michael myers,horror,6000000,11642254
67,1981-10-30,halloween ii,horror,2500000,25533818
66,1998-08-05,halloween: h2o,horror,17000000,55004135
68,2002-07-12,halloween: resurrection,horror,15000000,30259652
70,1995-09-29,halloween: the curse of michael myers,horror,5000000,15106362
80,1996-12-25,hamlet,drama,18000000,4414535
81,2000-05-12,hamlet,drama,2000000,1577287
85,2008-08-22,hamlet 2,comedy,9000000,4886216
99,2008-07-01,hancock,action,150000000,227946274
110,1968-08-03,hang em high,western,1800000,6800000
116,2000-02-18,hanging up,comedy,40000000,36037909
129,2011-04-08,hanna,drama,30000000,40259119
133,2009-04-10,hannah montana the movie,drama,30000000,79559647
134,2008-02-01,hannah montana/miley cyrus: best of both worlds concert tour,concert/performance,6500000,65281781
142,2001-02-09,hannibal,horror,87000000,165091986
144,2007-02-09,hannibal rising,thriller/suspense,50000000,27669725
153,2013-01-25,hansel & gretel: witch hunters,action,50000000,55703475
160,2007-01-05,happily never after,comedy,47000000,15849032
162,1998-10-16,happiness,comedy,3000000,2746453
170,2014-07-25,happy christmas,comedy,70000,30312
174,2006-11-17,happy feet,adventure,85000000,198000317
175,2011-11-18,happy feet two,adventure,135000000,64006466
176,1996-02-16,happy gilmore,comedy,10000000,38602000
187,1999-10-01,happy texas,comedy,1700000,1943649
191,2008-03-28,happy valley,documentary,250000,67665
200,2006-04-14,hard candy,horror,950000,1024640
206,1998-01-16,hard rain,action,70000000,19819494
215,2001-09-14,hardball,drama,21000000,40222729
219,2012-06-01,hardflip,drama,1000000,96734
227,1991-08-23,harley davidson and the marlboro man,action,23000000,7018525
232,2008-04-25,harold & kumar escape from guantanamo bay,comedy,12000000,38108728
233,2004-07-30,harold & kumar go to white castle,comedy,9000000,18225165
238,1996-07-10,harriet the spy,adventure,13000000,26539321
244,2010-04-30,harry brown,thriller/suspense,7300000,1818681
247,2002-11-15,harry potter and the chamber of secrets,adventure,100000000,261987880
248,2010-11-19,harry potter and the deathly hallows: part i,adventure,125000000,295001070
249,2011-07-15,harry potter and the deathly hallows: part ii,adventure,125000000,381011219
